health_score,failure_probability,rul_days,repair_cost,failure_cost,potential_savings,priority
92,21,68,10059,103866,93807,Low
99,67,91,17527,77719,60192,High
11,21,17,11073,30150,19077,Immediate
64,21,90,14383,92272,77889,Medium
13,63,47,24195,111670,87475,Immediate
98,51,76,24510,91882,67372,Medium
10,32,6,17414,54496,37082,Immediate
57,86,26,14745,50774,36029,Immediate
97,28,4,17288,116474,99186,Immediate
12,38,15,12078,98010,85932,Immediate
74,31,2,16998,105795,88797,Immediate
83,21,75,23162,77575,54413,Low
55,91,93,23500,72714,49214,Immediate
79,100,59,23563,82464,58901,Immediate
18,56,69,8626,26050,17424,Immediate
57,37,15,14425,26405,11980,High
34,63,113,11984,104695,92711,High
11,17,15,21639,117169,95530,Immediate
71,59,46,20368,36144,15776,Medium
92,52,8,11782,104752,92970,High
45,49,116,9342,81130,71788,High
63,43,53,8655,63514,54859,Medium
2,19,46,3526,82286,78760,Immediate
93,77,71,14536,53077,38541,High
83,99,9,8797,84252,75455,Immediate
59,62,86,8109,67377,59268,High
1,87,72,23172,93284,70112,Immediate
71,20,18,20773,92819,72046,High
37,31,11,24804,76492,51688,High
32,40,8,20162,63143,42981,High
50,87,41,13640,63139,49499,Immediate
45,31,79,11783,70570,58787,High
32,73,40,19385,35753,16368,High
32,76,30,17451,84436,66985,High
21,65,38,3089,63950,60861,Immediate
14,97,106,12078,47081,35003,Immediate
48,74,61,9082,68868,59786,High
5,8,6,22528,58543,36015,Immediate
40,75,8,6911,43200,36289,High
91,61,84,16629,88179,71550,High
6,74,84,3207,79642,76435,Immediate
5,57,22,11601,55263,43662,Immediate
2,40,60,7109,32422,25313,Immediate
11,86,12,4560,93708,89148,Immediate
18,54,110,22811,103127,80316,Immediate
7,92,119,5356,85682,80326,Immediate
31,50,44,23049,108766,85717,High
17,82,22,7644,20564,12920,Immediate
58,2,28,17025,35971,18946,Medium
34,60,93,19309,84539,65230,High
78,96,7,10005,79326,69321,Immediate
60,23,20,18140,106479,88339,Medium
91,19,60,9295,100113,90818,Low
95,35,117,15003,68588,53585,Low
78,33,36,15582,37783,22201,Medium
57,11,3,18596,113474,94878,Immediate
96,98,26,22975,59698,36723,Immediate
93,86,42,12131,88192,76061,Immediate
77,1,119,15197,29845,14648,Low
61,59,111,3013,83148,80135,Medium
88,83,2,6814,62707,55893,Immediate
16,88,28,5113,79787,74674,Immediate
100,4,65,24927,121402,96475,Low
55,35,45,6374,68607,62233,Medium
66,13,80,8724,95343,86619,Medium
93,0,5,18635,108165,89530,Immediate
75,0,57,19959,101594,81635,Low
27,36,47,9116,34679,25563,Immediate
36,48,113,12847,49002,36155,High
55,27,111,4742,33051,28309,Medium
60,19,114,19001,95505,76504,Medium
36,19,26,18360,67390,49030,High
34,69,101,8178,48034,39856,High
50,77,12,23969,75204,51235,High
52,87,43,3125,58397,55272,Immediate
49,28,57,18398,84901,66503,High
42,49,23,10595,99736,89141,High
83,22,45,15595,27564,11969,Low
7,84,1,12206,45402,33196,Immediate
95,4,111,15373,73693,58320,Low
54,89,43,18504,52593,34089,Immediate
7,46,104,15144,75282,60138,Immediate
71,88,46,6072,47962,41890,Immediate
30,79,14,22508,74795,52287,High
68,89,62,6291,85860,79569,Immediate
63,69,63,8704,79280,70576,High
40,88,48,9924,47132,37208,Immediate
76,30,105,10114,46037,35923,Low
97,3,102,7114,82079,74965,Low
97,81,13,4000,39426,35426,High
74,0,88,11189,73113,61924,Low
14,64,76,7806,26914,19108,Immediate
18,59,93,8592,101952,93360,Immediate
48,95,113,17437,90886,73449,Immediate
10,98,72,5989,93565,87576,Immediate
2,84,26,9471,55102,45631,Immediate
65,69,28,4177,18937,14760,High
11,4,98,23783,45339,21556,Immediate
78,43,100,14022,97792,83770,Medium
47,86,70,19173,89062,69889,Immediate
42,20,23,12206,92173,79967,High
46,14,25,11906,58820,46914,High
14,67,21,19524,67174,47650,Immediate
33,77,68,10151,77867,67716,High
51,26,29,9894,33361,23467,Medium
34,7,16,19489,84180,64691,High
29,17,2,15208,68804,53596,Immediate
3,89,89,23829,77968,54139,Immediate
73,38,13,6654,105676,99022,High
55,41,61,9441,44052,34611,Medium
83,67,118,4798,73987,69189,High
0,43,45,16673,103339,86666,Immediate
12,21,118,4300,103089,98789,Immediate
91,8,26,7616,99545,91929,Medium
87,41,72,9295,53379,44084,Medium
67,49,24,6683,23910,17227,Medium
38,73,89,3145,94716,91571,High
73,96,55,19866,47499,27633,Immediate
32,20,81,11853,99084,87231,High
36,14,35,3987,54377,50390,High
31,10,10,12160,49373,37213,High
76,56,25,3769,31496,27727,Medium
34,6,85,14543,53914,39371,High
45,18,68,20625,64518,43893,High
41,31,39,9764,74017,64253,High
35,100,97,10843,35053,24210,Immediate
72,7,97,13106,91114,78008,Low
67,12,49,6713,87300,80587,Medium
4,43,27,7255,31739,24484,Immediate
7,71,50,11258,66371,55113,Immediate
2,85,70,8249,37450,29201,Immediate
80,34,98,12686,76049,63363,Low
7,21,44,17788,70616,52828,Immediate
92,30,47,3207,101940,98733,Low
54,15,12,16711,46814,30103,High
83,2,16,18901,101883,82982,High
91,4,84,11555,40307,28752,Low
29,20,84,23421,89694,66273,Immediate
71,31,33,20396,106955,86559,Medium
75,37,116,22169,48332,26163,Medium
96,22,114,21792,67377,45585,Low
90,72,65,8299,60984,52685,High
22,25,68,7406,100768,93362,Immediate
21,42,15,7437,88408,80971,Immediate
100,11,111,3560,25889,22329,Low
37,81,45,4826,91783,86957,High
87,29,78,11325,73615,62290,Low
79,6,52,10693,94493,83800,Low
14,20,35,9721,75875,66154,Immediate
1,34,82,10373,75622,65249,Immediate
9,24,66,11984,85724,73740,Immediate
53,32,36,11286,27187,15901,Medium
64,79,54,11429,36145,24716,High
51,2,99,21344,54773,33429,Medium
24,12,117,21913,49260,27347,Immediate
24,78,68,10340,109439,99099,Immediate
31,95,92,14916,99186,84270,Immediate
77,19,18,22420,87519,65099,High
62,5,32,21268,109134,87866,Medium
1,59,23,9610,91576,81966,Immediate
4,82,34,9488,75165,65677,Immediate
10,49,31,24559,59591,35032,Immediate
86,82,9,8448,68779,60331,High
61,6,80,11800,68651,56851,Medium
39,16,101,4382,48553,44171,High
51,92,52,3419,25830,22411,Immediate
37,49,63,12700,55071,42371,High
62,61,99,4549,45723,41174,High
100,85,5,7481,80518,73037,Immediate
90,20,118,7837,91131,83294,Low
20,9,87,10993,26535,15542,Immediate
4,64,13,17828,84360,66532,Immediate
52,81,101,23652,34323,10671,High
35,80,99,23976,104307,80331,High
10,62,21,21739,61039,39300,Immediate
25,67,34,7719,51080,43361,Immediate
98,92,52,22877,88193,65316,Immediate
41,12,113,23584,64495,40911,High
16,8,41,9272,83913,74641,Immediate
59,47,29,12312,111409,99097,Medium
57,59,104,11906,50508,38602,Medium
85,71,49,19462,103078,83616,High
59,86,88,17916,58027,40111,Immediate
43,64,87,12223,92699,80476,High
71,86,43,6456,24244,17788,Immediate
50,23,99,5711,92527,86816,Medium
4,19,21,15089,35231,20142,Immediate
99,10,52,15686,89713,74027,Low
50,57,5,11964,98259,86295,Immediate
63,9,38,16279,65558,49279,Medium
91,80,95,23223,68367,45144,High
65,78,50,14824,75803,60979,High
67,77,105,15504,87062,71558,High
61,9,21,23131,58358,35227,Medium
90,1,118,3780,52851,49071,Low
94,15,32,19905,75743,55838,Medium
16,39,18,15232,47400,32168,Immediate
58,77,89,14889,102700,87811,High
29,83,85,14435,89381,74946,Immediate
45,20,99,24725,83483,58758,High
38,11,105,14182,81031,66849,High
20,12,21,18997,108748,89751,Immediate
45,6,23,17571,85512,67941,High
21,88,22,19140,114597,95457,Immediate
1,28,85,23942,89673,65731,Immediate
26,49,95,7082,63568,56486,Immediate
87,43,77,13517,27271,13754,Medium
36,60,97,11706,30600,18894,High
18,22,29,8926,28422,19496,Immediate
100,7,106,6727,81822,75095,Low
0,4,3,19832,68619,48787,Immediate
98,95,64,14754,92810,78056,Immediate
9,20,46,17566,107144,89578,Immediate
26,65,41,5159,53059,47900,Immediate
8,35,86,13473,42506,29033,Immediate
57,53,12,20421,44365,23944,High
33,52,20,22018,68769,46751,High
94,69,56,20508,113125,92617,High
3,3,20,21313,97862,76549,Immediate
98,25,37,10909,99554,88645,Medium
20,73,38,8891,80518,71627,Immediate
56,44,20,13822,91921,78099,Medium
92,13,3,19087,77955,58868,Immediate
79,57,55,9643,56370,46727,Medium
23,33,30,19977,44203,24226,Immediate
30,59,60,14154,93080,78926,High
82,21,24,12324,84863,72539,Medium
29,57,102,16428,70362,53934,Immediate
99,63,19,19044,34513,15469,High
54,54,97,4169,15820,11651,Medium
91,46,75,19184,62971,43787,Medium
44,32,17,15485,59536,44051,High
19,46,91,4733,44987,40254,Immediate
77,74,103,17472,30943,13471,High
68,60,10,5097,61947,56850,High
76,93,118,5757,68829,63072,Immediate
50,18,42,8017,99923,91906,Medium
68,92,64,13195,25291,12096,Immediate
20,73,64,13595,49796,36201,Immediate
3,38,114,22362,35201,12839,Immediate
56,99,70,16493,43562,27069,Immediate
59,59,57,10710,87865,77155,Medium
23,88,36,18261,29692,11431,Immediate
29,85,92,7998,18160,10162,Immediate
54,91,14,20015,80072,60057,Immediate
79,15,54,5014,24847,19833,Low
88,76,70,12032,27379,15347,High
55,83,82,21681,81707,60026,High
56,20,68,20073,60755,40682,Medium
6,69,15,17289,35216,17927,Immediate
74,19,88,14918,90346,75428,Low
41,25,108,6959,39628,32669,High
56,36,58,23054,67575,44521,Medium
36,87,49,21322,89036,67714,Immediate
88,84,12,19376,35964,16588,High
40,32,50,18352,61717,43365,High
32,80,24,3572,21093,17521,High
27,57,43,16992,82710,65718,Immediate
85,48,17,4633,65302,60669,High
69,97,65,18177,41317,23140,Immediate
4,1,22,16368,95041,78673,Immediate
73,97,16,15722,38646,22924,Immediate
38,85,76,11535,78861,67326,High
39,37,60,7666,66443,58777,High
98,63,115,4854,25654,20800,High
63,31,7,21708,44527,22819,High
25,67,110,16171,57104,40933,Immediate
14,84,79,21133,46072,24939,Immediate
13,26,105,9823,38312,28489,Immediate
27,25,113,5113,96929,91816,Immediate
2,71,44,20961,72932,51971,Immediate
98,5,39,18795,55185,36390,Medium
88,49,43,9852,22403,12551,Medium
11,73,8,21939,65182,43243,Immediate
40,35,101,10239,26949,16710,High
8,46,15,5285,53276,47991,Immediate
81,41,60,22909,109976,87067,Medium
1,6,80,9530,30646,21116,Immediate
2,26,114,4898,19033,14135,Immediate
32,91,1,24494,123581,99087,Immediate
7,100,32,17203,44274,27071,Immediate
100,3,94,14205,79866,65661,Low
18,31,9,18149,82549,64400,Immediate
62,20,30,23748,90229,66481,Medium
3,27,102,4529,40699,36170,Immediate
26,68,25,13592,50411,36819,Immediate
24,19,34,3226,28262,25036,Immediate
91,92,9,12587,23232,10645,Immediate
82,59,44,24953,87095,62142,Medium
72,84,88,16537,72574,56037,High
2,75,92,12177,91792,79615,Immediate
20,27,90,21099,76195,55096,Immediate
50,46,82,8433,52299,43866,Medium
56,22,48,12087,103644,91557,Medium
16,68,108,21058,107695,86637,Immediate
14,90,35,15576,83643,68067,Immediate
15,33,66,7578,92241,84663,Immediate
27,46,39,13693,62240,48547,Immediate
0,71,119,12046,97376,85330,Immediate
3,57,25,17478,99384,81906,Immediate
56,52,46,11179,69960,58781,Medium
99,75,17,24030,84969,60939,High
76,78,82,20522,117183,96661,High
90,22,59,23058,116355,93297,Low
45,37,14,5659,102175,96516,High
71,61,35,16970,98648,81678,High
77,83,113,11472,44855,33383,High
13,25,102,4750,68659,63909,Immediate
47,82,110,18282,113148,94866,High
41,18,73,8075,94023,85948,High
70,77,63,18432,39434,21002,High
18,46,116,7493,67578,60085,Immediate
52,60,36,13704,73141,59437,Medium
8,63,33,14639,88946,74307,Immediate
88,13,75,21146,42386,21240,Low
58,77,94,3040,84403,81363,High
67,91,8,17849,109617,91768,Immediate
85,40,55,5524,90337,84813,Medium
47,29,12,24538,100852,76314,High
63,49,85,20044,80544,60500,Medium
47,19,101,13178,31029,17851,High
32,72,61,16635,35803,19168,High
97,87,96,14328,113716,99388,Immediate
86,46,40,9581,91434,81853,Medium
46,14,105,15946,52595,36649,High
51,92,22,17567,107971,90404,Immediate
50,37,20,23124,111126,88002,Medium
3,54,71,13587,54846,41259,Immediate
3,21,76,19300,38070,18770,Immediate
85,65,88,20569,41759,21190,High
0,71,87,23389,73586,50197,Immediate
85,24,82,9716,106511,96795,Low
5,89,27,10815,106186,95371,Immediate
64,56,93,12836,91172,78336,Medium
98,39,14,8410,101785,93375,High
83,55,49,9796,106512,96716,Medium
48,45,113,20543,67961,47418,High
19,96,90,19724,33552,13828,Immediate
48,63,62,8482,83815,75333,High
8,87,37,7912,22560,14648,Immediate
16,87,21,5866,60468,54602,Immediate
38,54,41,7492,39699,32207,High
10,18,11,20740,90258,69518,Immediate
45,44,1,14431,85466,71035,Immediate
18,75,72,15743,86091,70348,Immediate
11,60,112,3987,17308,13321,Immediate
68,7,25,16146,105336,89190,Medium
29,46,87,6760,38950,32190,Immediate
83,81,18,7033,55244,48211,High
93,32,36,19977,64519,44542,Medium
27,39,84,6808,33523,26715,Immediate
14,40,39,8889,55525,46636,Immediate
73,65,51,13058,97695,84637,High
81,50,118,10544,67163,56619,Medium
2,83,70,14777,55150,40373,Immediate
2,15,94,9439,42224,32785,Immediate
80,40,12,21850,34132,12282,High
64,54,45,4998,46703,41705,Medium
100,84,62,15336,100214,84878,High
94,24,23,20815,69207,48392,Medium
37,27,21,16749,44263,27514,High
17,35,99,6500,53288,46788,Immediate
29,59,108,13081,40939,27858,Immediate
66,27,44,9990,74302,64312,Medium
62,22,104,18434,92481,74047,Medium
31,56,118,21019,116939,95920,High
23,38,34,10835,97543,86708,Immediate
6,67,37,24312,118838,94526,Immediate
19,18,29,22657,73036,50379,Immediate
17,91,35,24930,78944,54014,Immediate
94,90,11,14120,32887,18767,Immediate
68,7,34,14951,42389,27438,Medium
3,49,69,10069,62428,52359,Immediate
87,58,67,7652,107511,99859,Medium
25,26,46,17325,64551,47226,Immediate
63,90,106,14826,51243,36417,Immediate
5,58,15,23724,86885,63161,Immediate
100,36,42,11315,29351,18036,Medium
